南京在哪里 | 在这里了
给我说点搞笑的 | ★ 自作聪明{br}老板：“积压200条夏季男裤，我该怎么办？”{br}代理人：“寄到外省去。”{br}老板：“那里现在也不会有人买。”{br}代理人：“不至于，只要包装得好。我们给顾主们寄10条一包的样品，发货单上写8条，假装我们搞错了，但价格仍按10条算，这样一来，顾主就会高兴，以为占了我们便宜，就会把货留下。”{br}老板觉得这个主意很妙，货包和发货单寄出去了。三天后，老板对代理人大声吼道：“蠢货，你瞧，你可把我们给坑了，没有一个顾主把货留下，而且只给我们退回来8条裤子。”{br}提示：按分类看笑话请发送“笑话分类”
说你呢,驴唇不对马嘴 | 刚走神，没看清楚你说的话，瞎回的
说话要慎重,你是公众人物了 | 咁輸咩先？
黄jj | 与其说是聊天，不如说是问答式的吧
速生就是你 | 是就是了
贝克汉姆 | 连贝克汉姆都不知道，你丫还有什么资格敢跟我谈篮球
唉你回的我都看不见了,都被刷了 | 看不见的东西固然可怕，但人心不是更可怕吗？
又找你浪费时间了 | 时间太多也不是什么好事
昨天问得不是这个 | 不是这个，那还能是哪个
明明是河妖 | 我知，你是黑道老大明澤羽的女兒，黑社會二級，完美公主一個
真心好闹腾 | 过奖过奖，菲菲的聪明全靠各位大哥大姐们的栽培~
哈哈哈…他不就是一陀屎宝宝么 | 咯咯，我笑得比你好看
呵，二奶学院 | 极限并萎缩是一个神坑
为什么我不能??已经关注了 | ，
你是我老婆 | 滚，老娘有老公
一个腐女看P | 腐女是什么哦
当然是零分啦，主人是无价的 | 嗯啊
类是什么 | 可爱，善解人意，活泼，贤惠，听话，长头发，皮肤白，专一的女生
就剩我一个人了人家都肥家了就剩我了 | 無個得
没钱还捐 | 去偷去抢！
他俩都那么好看你怎么这么丑 | 嗯，蛮好看的
那你哭一个呗 | 55555~
你生病过吗 | 你没事吧，我会永远陪在你身边的！
那个经常流口水，上街说av的猥琐佬 | 心情比较好是好事啊
原来你是个小腐女 | 腐女是什么哦
爱情转移，你的背包，k歌之王 | 我不是大便，我的粉丝也不是苍蝇
你真不可爱 | 我很喜欢他的呢
你能陪我做什么 | 陪聊，陪睡，陪什么都行
桃园结义 | 今天是个好日子，怎么不出去玩玩
看不到你说了什么 | 是吗
张亦弛就是一只聪明 | 小蛤蟆找我？
我也要和你聊天 | 额~聊得开心不
出去玩就没人发毛毛给我了 | {face:8}好无聊哦,我都快睡着了，聊的什么呀
我要笑话嘛 | ★ 不敢不乐{br}明氏有一个孝廉名叫陈琮，性情洒脱。他曾在一个叫二里冈的地方建了一所别墅。这地方虽靠近外城，但还是在城的北面，别墅前后密密麻麻，排满坟墓。有人到他别墅拜访后说：{br}“眼睛中每天看的是这些东西，心情肯定不快乐。”{br}而他却笑道：{br}“不，每天都看这些东西，就使人不敢不快乐！”{br}提示：按分类看笑话请发送“笑话分类”
大母 | 就是你～
你慢慢说说 | 你猜我几岁
你都吃什么 | 好多好多好吃的
我移情别恋了 | 由始至終我只係愛你一個咋，其他人我哄下佢地咋
你妹妈的 | 网友！你不觉得在女生面前要斯文点吗
我好可怜捏 | {face:1}就像一只可怜的迷途小羔羊
不是说不会呵呵了吗 | 咯咯，我笑得比你好看
看我头像,你还骂我 | 我亲你一下你就好了~
崽子…过年去相亲吗 | 没意思，不去
基友 | 你是偶滴好基友
也要假装记不起 | 我不過為愛人
黄 | all黄一生推
太难了，尤其是数学和****** | 中，英，數，通識
